Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
1,Sand Point,AK,ELECTRIC POWER,1,IC,DFO,PET,"2,729,000",0,"35,490","35,490",0,"6,071",Barrels,"2,900","2,631",,,Balancing Authority Not Reported,Alaska
3,Barry,AL,ELECTRIC POWER,1,CA,NG,GAS,"2,704,852,000",0,"615,384","615,384",0,"606,684",Mcf,"35,891","32,560",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,CT,NG,GAS,"5,222,203,000",0,"54,874,030","54,874,030",0,"54,097,499",Mcf,"3,200,430","2,903,385",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,ST,BIT,COAL,"3,678,398,519",0,"37,026,731","37,026,731",0,"1,818,179",Tons,"3,805,585","3,452,372",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
3,Barry,AL,ELECTRIC POWER,1,ST,NG,GAS,"186,832,481",0,"1,950,436","1,950,436",0,"1,890,718",Mcf,"113,756","103,198",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
7,Gadsden,AL,ELECTRIC POWER,1,ST,NG,GAS,"-5,901,000",0,0,0,0,0,Mcf,0,0,SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,"28,972,000",0,"571,208","571,208",0,"517,868",Mcf,"33,315","30,223",WECC,EPE,El Paso Electric Company,Southwest
10,Greene County,AL,ELECTRIC POWER,1,GT,NG,GAS,"56,691,920",0,"809,404","809,404",0,"782,498",Mcf,"47,207","42,826",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
10,Greene County,AL,ELECTRIC POWER,1,GT,DFO,PET,"2,581,080",0,"37,985","37,985",0,"6,530",Barrels,"3,104","2,816",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
10,Greene County,AL,ELECTRIC POWER,1,ST,NG,GAS,"691,147,000",0,"7,729,779","7,729,779",0,"7,473,896",Mcf,"450,826","408,983",SERC,SOCO,"Southern Company Services, Inc. - Trans",Southeast
